model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,0.8,0.69712,tau_star,8.013671875,8.013671875,9.013671875,79799.45604105787,1017888068.5106375,12944114012240.785,797787.5779011741,1033.3882847821942,121940.97924430463,112266.90263696937,0.9987063580845703,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,0.8,0.69712,cost_opt,8.013671875,8.414355468845173,9.414355468845173,79790.83011840661,1017817549.9820024,12326434144824.434,797684.9139058777,1115.2650441790877,133707.74106389005,90397.12136724865,0.9986038247441995,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,1.0,0.8714,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748545,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.9984115844257899,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,1.0,0.8714,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782467,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,1.2,0.999,tau_star,8.013671875,8.013671875,9.013671875,79767.46664114705,1017659710.9002639,12938291740848.016,797386.0561289068,1440.9008882176952,172041.96810487122,158498.3147347832,0.9981962290136049,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,delta_eff,0.8714,1.2,0.999,cost_opt,8.013671875,8.414355468846553,9.414355468846553,79755.70082625884,1017566723.6784639,12320356613309.441,797244.1726724692,1561.8180418314614,188792.7011207522,136811.27338518956,0.9980448093029011,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,0.8,429600.0,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83640.23697132303,1066947177.6323959,13501829735930.973,836161.4175449136,1202.885392609041,150035.91797860336,42913.45725707507,0.998563486181117,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,0.8,429600.0,cost_opt,8.4520263671875,8.874627685645152,9.874627685645152,82419.12402540204,1051440789.4400012,12705841129138.822,823916.2839848325,1372.7200751549315,164901.66276005685,141165.22242342762,0.9983366795529786,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,1.0,537000.0,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83593.85859844048,1066483338.5713665,13492020047788.836,835640.151222268,1489.850604490091,185856.49547709565,52668.35217283151,0.9982202876479889,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,1.0,537000.0,cost_opt,8.4520263671875,8.874627685645985,9.874627685645985,82393.06578364663,1051250032.4752777,12701228303012.137,823591.5858411711,1692.8037336777313,204499.42381470848,179629.4024021532,0.9979488237569236,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
