model_layer,iK,iE,Keff_tpy,K_max_total,delta_eff,epsilon,epsilon_mult,JE_ref,gamma_ref,gamma_star,JE,JE_relerr,phaseout_t,phaseout_label,status
reduced_mature_regime,3,7,467941.8,537000.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0003414548873833601,7511049225.82746,0.8999999779541525,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,0,584927.25,671250.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,0.7356422544596414,6407778855.789869,16.06227738837141,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,1,584927.25,671250.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.7356422544596414,6407778855.789869,7.531138694185705,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,2,584927.25,671250.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.7356422544596414,6407778855.789869,3.265569347092852,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,3,584927.25,671250.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.7356422544596414,6407778855.789869,0.7062277388371411,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,4,584927.25,671250.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.001584893192461114,6419415639.128535,0.1453368415867469,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,5,584927.25,671250.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.001584893192461114,6419415639.128535,0.5726684207933735,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,6,584927.25,671250.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.001584893192461114,6419415639.128535,0.8290673683173494,,Never,approx_grid_no_sign_change
reduced_mature_regime,4,7,584927.25,671250.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.001584893192461114,6419415639.128535,0.9145336841586748,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,0,701912.7,805500.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,0.3981071705534973,5392098058.037995,13.357779012366105,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,1,701912.7,805500.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.3981071705534973,5392098058.037995,6.178889506183053,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,2,701912.7,805500.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.3981071705534973,5392098058.037995,2.589444753091526,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,3,701912.7,805500.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.3981071705534973,5392098058.037995,0.43577790123661053,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,4,701912.7,805500.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.0054116952654646375,5392099441.069124,0.2821108652487737,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,5,701912.7,805500.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0054116952654646375,5392099441.069124,0.6410554326243869,,Never,approx_grid_no_sign_change
